X,Y,Z,U_exact,U_approx
-0.8333333333333334,0.4270833333333333,0.0,0.20055,0.200542
-0.8333333333333334,0.4375,0.0,0.197731,0.197721
-0.8333333333333334,0.44791666666666663,0.0,0.194989,0.194979
-0.8333333333333334,0.4583333333333333,0.0,0.192323,0.192311
-0.8333333333333334,0.46875,0.0,0.189727,0.189714
-0.8333333333333334,0.47916666666666663,0.0,0.1872,0.187185
-0.8333333333333334,0.4895833333333333,0.0,0.184738,0.184722
-0.8333333333333334,0.5,0.0,0.182339,0.182321
-0.7916666666666667,0.0,0.0,0.608761,0.608761
-0.7916666666666667,0.010416666666666666,0.0,0.587481,0.58748
-0.7916666666666667,0.020833333333333332,0.0,0.567664,0.567664
-0.7916666666666667,0.03125,0.0,0.549172,0.549172
-0.7916666666666667,0.041666666666666664,0.0,0.53188,0.531881
-0.7916666666666667,0.05208333333333333,0.0,0.515677,0.515678
-0.7916666666666667,0.0625,0.0,0.500464,0.500465
-0.7916666666666667,0.07291666666666666,0.0,0.486153,0.486154
-0.7916666666666667,0.08333333333333333,0.0,0.472667,0.472668
-0.7916666666666667,0.09375,0.0,0.459936,0.459937
-0.7916666666666667,0.10416666666666666,0.0,0.447897,0.447898
-0.7916666666666667,0.11458333333333333,0.0,0.436494,0.436495
-0.7916666666666667,0.125,0.0,0.425679,0.42568
-0.7916666666666667,0.13541666666666666,0.0,0.415405,0.415406
-0.7916666666666667,0.14583333333333331,0.0,0.405633,0.405634
-0.7916666666666667,0.15625,0.0,0.396326,0.396326
-0.7916666666666667,0.16666666666666666,0.0,0.387451,0.387451
-0.7916666666666667,0.17708333333333331,0.0,0.378977,0.378977
-0.7916666666666667,0.1875,0.0,0.370878,0.370878
-0.7916666666666667,0.19791666666666666,0.0,0.363128,0.363128
-0.7916666666666667,0.20833333333333331,0.0,0.355706,0.355705
-0.7916666666666667,0.21875,0.0,0.348589,0.348589
-0.7916666666666667,0.22916666666666666,0.0,0.341759,0.341759
-0.7916666666666667,0.23958333333333331,0.0,0.335199,0.335199
-0.7916666666666667,0.25,0.0,0.328893,0.328892
-0.7916666666666667,0.26041666666666663,0.0,0.322825,0.322823
-0.7916666666666667,0.2708333333333333,0.0,0.316981,0.31698
-0.7916666666666667,0.28125,0.0,0.31135,0.311349
-0.7916666666666667,0.29166666666666663,0.0,0.30592,0.305918
-0.7916666666666667,0.3020833333333333,0.0,0.300679,0.300676
-0.7916666666666667,0.3125,0.0,0.295617,0.295615
-0.7916666666666667,0.32291666666666663,0.0,0.290726,0.290723
-0.7916666666666667,0.3333333333333333,0.0,0.285996,0.285992
-0.7916666666666667,0.34375,0.0,0.281419,0.281415
-0.7916666666666667,0.35416666666666663,0.0,0.276987,0.276983
-0.7916666666666667,0.3645833333333333,0.0,0.272694,0.272689
-0.7916666666666667,0.375,0.0,0.268533,0.268527
-0.7916666666666667,0.38541666666666663,0.0,0.264497,0.264491
-0.7916666666666667,0.3958333333333333,0.0,0.260581,0.260574
-0.7916666666666667,0.40625,0.0,0.25678,0.256771
-0.7916666666666667,0.41666666666666663,0.0,0.253087,0.253077
-0.7916666666666667,0.4270833333333333,0.0,0.249498,0.249487
-0.7916666666666667,0.4375,0.0,0.246009,0.245996
-0.7916666666666667,0.44791666666666663,0.0,0.242616,0.242601
-0.7916666666666667,0.4583333333333333,0.0,0.239313,0.239296
-0.7916666666666667,0.46875,0.0,0.236098,0.236078
