     0.92388     0.925369     0.925713     0.924955     0.923151     0.920368     0.916679     0.912163     0.906897      0.90096     0.894429     0.887375     0.879868     0.871969     0.863738     0.855227     0.846486     0.837558     0.828481     0.819291     0.810019     0.800692     0.791335     0.781967     0.772608     0.763273     0.753977     0.744731     0.735546      0.72643      0.71739     0.708434     0.699565     0.690789     0.682108     0.673525     0.665044     0.656664     0.648387     0.640215     0.632147     0.624184     0.616325      0.60857     0.600919      0.59337     0.585924     0.578578     0.571333
    0.866025      0.87078     0.874503      0.87719     0.878857      0.87953      0.87925     0.878065     0.876029     0.873202     0.869645      0.86542     0.860589     0.855211     0.849344     0.843041     0.836355     0.829333     0.822018     0.814452     0.806671      0.79871     0.790598     0.782363     0.774031     0.765623      0.75716     0.748659     0.740138     0.731609     0.723085     0.714577     0.706096     0.697651     0.689247     0.680893     0.672594     0.664355     0.656181     0.648076     0.640042     0.632082     0.624199     0.616396     0.608672     0.601031     0.593472     0.585998     0.578607
    0.793353     0.800594     0.806989     0.812502      0.81711     0.820804     0.823589     0.825479     0.826501     0.826686     0.826075     0.824709     0.822637     0.819905     0.816563      0.81266     0.808243     0.803358     0.798049     0.792359     0.786326     0.779989     0.773381     0.766535     0.759482     0.752248     0.744858     0.737336     0.729704      0.72198     0.714182     0.706327     0.698429     0.690501     0.682555     0.674602     0.666653     0.658715     0.650798     0.642907     0.635051     0.627234     0.619461     0.611739      0.60407     0.596458     0.588907      0.58142     0.573999
    0.707107      0.71591     0.724091     0.731595     0.738372     0.744387     0.749614     0.754039     0.757657     0.760472     0.762499     0.763758     0.764273     0.764077     0.763202     0.761686     0.759565      0.75688     0.753669     0.749971     0.745823     0.741263     0.736325     0.731044     0.725452      0.71958     0.713455     0.707106     0.700558     0.693834     0.686956     0.679946     0.672821       0.6656     0.658298     0.650932     0.643514     0.636057     0.628574     0.621074     0.613568     0.606065     0.598572     0.591098      0.58365     0.576233     0.568853     0.561515     0.554225
    0.608761      0.61813     0.627101      0.63561     0.643599     0.651017     0.657817     0.663966     0.669434     0.674202     0.678261     0.681607     0.684244     0.686182     0.687438     0.688032     0.687987     0.687332     0.686094     0.684305     0.681997     0.679203     0.675953     0.672281     0.668218     0.663796     0.659042     0.653988     0.648659     0.643082     0.637283     0.631284     0.625107     0.618775     0.612306     0.605719     0.599032     0.592259     0.585416     0.578516     0.571574     0.564599     0.557604     0.550599     0.543591     0.536591     0.529606     0.522643     0.515709
         0.5     0.508944     0.517678     0.526145     0.534287     0.542051     0.549383     0.556239     0.562578     0.568365     0.573573     0.578182     0.582177     0.585551     0.588303     0.590437     0.591962     0.592892     0.593243     0.593037     0.592296     0.591044     0.589309     0.587116     0.584494     0.581471     0.578075     0.574333     0.570273      0.56592       0.5613     0.556437     0.551356     0.546078     0.540625     0.535017     0.529273     0.523411     0.517447     0.511398     0.505277     0.499099     0.492877     0.486621     0.480343     0.474053      0.46776     0.461472     0.455198
    0.382683     0.390295     0.397829     0.405242     0.412484     0.419511     0.426274     0.432729     0.438833     0.444549     0.449843     0.454684      0.45905     0.462922     0.466287     0.469138     0.471472     0.473291     0.474601     0.475413     0.475739     0.475595     0.475001     0.473975     0.472539     0.470717     0.468531     0.466004     0.463161     0.460025     0.456619     0.452966     0.449087     0.445003     0.440736     0.436303     0.431725     0.427018     0.422199     0.417283     0.412284     0.407218     0.402095     0.396928     0.391728     0.386505     0.381268     0.376026     0.370787
    0.258819     0.264345     0.269865     0.275349     0.280763     0.286076     0.291251     0.296255     0.301054     0.305616     0.309911     0.313911     0.317594      0.32094     0.323932     0.326559     0.328812     0.330687     0.332184     0.333306     0.334057     0.334447     0.334487     0.334188     0.333565     0.332633     0.331409      0.32991     0.328154     0.326158     0.323939     0.321516     0.318905     0.316124     0.313187     0.310111     0.306911       0.3036     0.300193     0.296701     0.293138     0.289513     0.285837      0.28212     0.278371     0.274599     0.270811     0.267013     0.263213
    0.130526     0.133429     0.136344     0.139256     0.142149     0.145006     0.147808     0.150537     0.153174     0.155703     0.158104     0.160363     0.162464     0.164396     0.166148     0.167711     0.169078     0.170246     0.171213     0.171978     0.172542      0.17291     0.173085     0.173074     0.172884     0.172521     0.171995     0.171315     0.170489     0.169528     0.168441     0.167237     0.165927     0.164518     0.163021     0.161443     0.159794      0.15808     0.156311     0.154492     0.152631     0.150735     0.148807     0.146856     0.144885     0.142899     0.140903       0.1389     0.136895
           0  6.64837e-16   7.8755e-16  9.88669e-16  1.02912e-15  1.23215e-15  1.20119e-15  1.31027e-15  1.28314e-15   1.3407e-15  1.36096e-15   1.4005e-15  1.40521e-15  1.42607e-15  1.41621e-15   1.3877e-15  1.34772e-15  1.34543e-15  1.32164e-15  1.38176e-15  1.36357e-15  1.41388e-15  1.39881e-15  1.39474e-15  1.43327e-15  1.31091e-15  1.36861e-15  1.30964e-15  1.40654e-15  1.37537e-15  1.44871e-15  1.36937e-15  1.43648e-15  1.35578e-15  1.42271e-15  1.33244e-15   1.4226e-15  1.35228e-15  1.40041e-15  1.32583e-15  1.34349e-15  1.31938e-15  1.34809e-15   1.2911e-15  1.30695e-15  1.28567e-15  1.28259e-15  1.27595e-15  1.25947e-15
