X,Y,Z,Value
-1.0,0.4505208333333333,0.0,0.999851
-1.0,0.45182291666666663,0.0,0.999853
-1.0,0.453125,0.0,0.999855
-1.0,0.4544270833333333,0.0,0.999857
-1.0,0.45572916666666663,0.0,0.999859
-1.0,0.45703125,0.0,0.99986
-1.0,0.4583333333333333,0.0,0.999862
-1.0,0.45963541666666663,0.0,0.999864
-1.0,0.4609375,0.0,0.999866
-1.0,0.4622395833333333,0.0,0.999868
-1.0,0.46354166666666663,0.0,0.999869
-1.0,0.46484375,0.0,0.999871
-1.0,0.4661458333333333,0.0,0.999873
-1.0,0.46744791666666663,0.0,0.999874
-1.0,0.46875,0.0,0.999876
-1.0,0.4700520833333333,0.0,0.999878
-1.0,0.47135416666666663,0.0,0.999879
-1.0,0.47265625,0.0,0.999881
-1.0,0.4739583333333333,0.0,0.999882
-1.0,0.47526041666666663,0.0,0.999884
-1.0,0.4765625,0.0,0.999885
-1.0,0.4778645833333333,0.0,0.999887
-1.0,0.47916666666666663,0.0,0.999888
-1.0,0.48046875,0.0,0.99989
-1.0,0.4817708333333333,0.0,0.999891
-1.0,0.48307291666666663,0.0,0.999892
-1.0,0.484375,0.0,0.999894
-1.0,0.4856770833333333,0.0,0.999895
-1.0,0.48697916666666663,0.0,0.999897
-1.0,0.48828125,0.0,0.999898
-1.0,0.4895833333333333,0.0,0.999899
-1.0,0.49088541666666663,0.0,0.999901
-1.0,0.4921875,0.0,0.999902
-1.0,0.4934895833333333,0.0,0.999903
-1.0,0.49479166666666663,0.0,0.999904
-1.0,0.49609375,0.0,0.999906
-1.0,0.4973958333333333,0.0,0.999907
-1.0,0.49869791666666663,0.0,0.999908
-1.0,0.5,0.0,0.999909
-0.9947916666666666,0.0,0.0,0.985904
-0.9947916666666666,0.0013020833333333333,0.0,0.986085
-0.9947916666666666,0.0026041666666666665,0.0,0.986264
-0.9947916666666666,0.00390625,0.0,0.98644
-0.9947916666666666,0.005208333333333333,0.0,0.986614
-0.9947916666666666,0.006510416666666666,0.0,0.986786
-0.9947916666666666,0.0078125,0.0,0.986956
-0.9947916666666666,0.009114583333333332,0.0,0.987124
-0.9947916666666666,0.010416666666666666,0.0,0.987289
-0.9947916666666666,0.01171875,0.0,0.987453
-0.9947916666666666,0.013020833333333332,0.0,0.987614
-0.9947916666666666,0.014322916666666666,0.0,0.987773
-0.9947916666666666,0.015625,0.0,0.98793
-0.9947916666666666,0.016927083333333332,0.0,0.988086
-0.9947916666666666,0.018229166666666664,0.0,0.988239
-0.9947916666666666,0.01953125,0.0,0.98839
-0.9947916666666666,0.020833333333333332,0.0,0.98854
-0.9947916666666666,0.022135416666666664,0.0,0.988687
-0.9947916666666666,0.0234375,0.0,0.988832
-0.9947916666666666,0.024739583333333332,0.0,0.988976
-0.9947916666666666,0.026041666666666664,0.0,0.989118
-0.9947916666666666,0.02734375,0.0,0.989258
-0.9947916666666666,0.028645833333333332,0.0,0.989396
-0.9947916666666666,0.029947916666666664,0.0,0.989533
